 ,Area,Min,Max,X,Y,Major,Minor,Angle,IntDen,RawIntDen,Ch,Slice
175,0.140,236,1113,3.098,4.355,0.427,0.418,84.650,83.710,209275.000,2,6
176,0.140,262,1095,3.005,6.558,0.426,0.417,152.795,83.392,208481.000,2,6
177,0.135,249,1028,4.465,7.717,0.415,0.413,38.985,77.619,194047.000,2,6
178,0.137,276,1011,1.761,8.235,0.420,0.415,33.914,77.552,193881.000,2,6
179,0.065,577,2134,1.404,0.208,0.305,0.272,0.116,83.142,207855.000,3,6
180,0.108,612,3127,1.765,0.835,0.395,0.349,79.460,175.331,438328.000,3,6
181,0.104,578,3023,4.697,1.124,0.374,0.355,68.910,164.153,410383.000,3,6
182,0.110,642,2986,0.875,2.932,0.388,0.361,97.345,172.459,431148.000,3,6
183,0.092,596,2657,6.649,3.132,0.357,0.328,60.911,134.366,335915.000,3,6
184,0.098,586,2795,5.476,4.062,0.377,0.333,100.152,148.286,370714.000,3,6
185,0.114,620,3312,3.141,4.366,0.405,0.359,80.124,187.237,468092.000,3,6
186,0.104,648,2779,3.044,6.555,0.386,0.343,76.592,155.965,389912.000,3,6
187,0.093,621,2530,4.497,7.714,0.357,0.331,96.269,133.189,332973.000,3,6
188,0.092,693,2337,1.788,8.230,0.347,0.339,147.626,125.056,312639.000,3,6
189,0.139,3415,13072,2.469,0.287,0.519,0.341,6.835,1098.826,2747066.000,1,7
190,0.228,3714,15144,1.403,0.393,0.598,0.485,12.970,2086.780,5216951.000,1,7
191,0.302,4658,15143,1.760,1.015,0.665,0.579,41.061,2951.778,7379445.000,1,7
192,0.281,4629,15141,4.686,1.309,0.630,0.567,34.016,2779.241,6948102.000,1,7
193,0.306,4475,15143,0.892,3.116,0.680,0.572,37.471,3090.806,7727014.000,1,7
194,0.259,4729,15141,6.648,3.291,0.627,0.526,35.198,2335.657,5839143.000,1,7
195,0.289,4694,15142,5.464,4.202,0.656,0.561,35.362,2745.378,6863446.000,1,7
196,0.283,4525,15142,3.146,4.527,0.636,0.567,36.066,2798.361,6995902.000,1,7
197,0.282,4578,15143,3.056,6.704,0.641,0.560,34.574,2723.895,6809738.000,1,7
198,0.293,4577,15142,4.506,7.859,0.654,0.571,34.521,2827.208,7068019.000,1,7
199,0.301,4684,15143,1.812,8.380,0.667,0.574,35.708,2977.671,7444177.000,1,7
200,0.084,218,819,1.350,0.270,0.390,0.273,178.396,40.411,101027.000,2,7
201,0.153,245,1144,1.700,0.873,0.443,0.439,11.927,90.407,226018.000,2,7
202,0.141,248,1087,4.641,1.159,0.429,0.418,79.642,82.690,206725.000,2,7
203,0.140,267,996,0.829,2.982,0.438,0.408,19.309,77.216,193040.000,2,7
204,0.140,255,1073,6.608,3.160,0.429,0.415,4.413,80.438,201095.000,2,7
205,0.139,237,1071,5.417,4.070,0.431,0.411,117.326,79.992,199980.000,2,7
206,0.144,253,1122,3.091,4.394,0.429,0.428,71.712,85.413,213532.000,2,7
207,0.144,253,1121,2.992,6.574,0.436,0.422,126.400,85.336,213341.000,2,7
208,0.137,252,1040,4.459,7.741,0.424,0.412,155.397,78.794,196986.000,2,7
209,0.140,262,1010,1.757,8.258,0.428,0.418,14.531,79.189,197973.000,2,7
210,0.053,633,1927,1.382,0.265,0.289,0.233,0.325,63.669,159173.000,3,7
211,0.110,616,3167,1.745,0.871,0.398,0.354,78.340,178.382,445954.000,3,7
212,0.108,593,3064,4.686,1.165,0.387,0.354,78.842,169.437,423593.000,3,7
213,0.112,637,2991,0.865,2.972,0.389,0.365,104.248,172.617,431542.000,3,7
214,0.093,631,2675,6.642,3.170,0.356,0.332,75.961,136.138,340345.000,3,7
215,0.104,672,2806,5.464,4.090,0.393,0.338,97.527,156.702,391756.000,3,7
216,0.113,594,3352,3.129,4.402,0.409,0.351,85.468,186.782,466956.000,3,7
217,0.104,662,2792,3.030,6.579,0.377,0.351,89.569,156.240,390599.000,3,7
218,0.095,664,2541,4.492,7.747,0.353,0.344,99.225,135.056,337641.000,3,7
219,0.091,705,2352,1.789,8.260,0.345,0.336,174.659,124.800,312000.000,3,7
220,0.145,4748,13759,2.488,0.270,0.486,0.381,17.408,1288.360,3220900.000,1,8
221,0.203,5004,15141,1.415,0.394,0.552,0.469,45.051,1943.783,4859458.000,1,8
222,0.238,5396,15143,1.768,1.045,0.608,0.497,51.097,2383.039,5957598.000,1,8
